response_id,session_id,timestamp,age_group,gender,prefecture,driving_experience,ev_experience,sound_sensitivity,best_sound,worst_sound,sd_Prius_volume,sd_Prius_texture,sd_Prius_pleasantness,sd_Prius_arousal,sd_Prius_luxury,sd_Prius_innovation,sd_Prius_power,sd_Prius_safety,sd_Prius_naturalness,purchase_intent_Prius,wtp_Prius,sd_Fit_volume,sd_Fit_texture,sd_Fit_pleasantness,sd_Fit_arousal,sd_Fit_luxury,sd_Fit_innovation,sd_Fit_power,sd_Fit_safety,sd_Fit_naturalness,purchase_intent_Fit,wtp_Fit,sd_Model3_volume,sd_Model3_texture,sd_Model3_pleasantness,sd_Model3_arousal,sd_Model3_luxury,sd_Model3_innovation,sd_Model3_power,sd_Model3_safety,sd_Model3_naturalness,purchase_intent_Model3,wtp_Model3,sound_importance
1,72239bc3-7aa8-4b77-b92e-82a957f8021e,2026-01-11T10:23:37.409025,50-59歳,女性,岩手県,1年未満,乗ったことはない,6,Prius,Fit,3,3,1,-2,3,1,-1,2,0,5,10万円まで,-3,0,0,2,0,0,1,-1,2,4,20万円まで,-1,2,2,1,2,2,1,1,-1,5,10万円まで,8
2,08b90ecb-3972-48eb-b1a7-c5e30e5ce966,2026-01-09T14:37:37.409144,20-29歳,男性,島根県,10-20年,試乗したことがある,8,Prius,Fit,3,3,2,-1,2,0,0,3,1,5,20万円まで,0,1,0,2,-1,0,0,1,3,4,5万円まで,1,0,0,3,0,2,3,0,1,4,10万円まで,8
3,474b9d83-58cb-4168-b730-0c69fc028384,2026-01-05T13:07:37.409201,60-70歳,女性,広島県,5-10年,試乗したことがある,7,Model3,Fit,3,2,2,-1,2,0,0,2,0,6,10万円まで,1,1,1,-1,-1,0,0,0,3,5,10万円まで,-1,1,0,3,1,3,3,3,-1,4,5万円まで,7
4,920398c8-16c2-4528-9770-a7a91eb57076,2026-01-06T21:27:37.409249,20-29歳,男性,埼玉県,1-5年,試乗したことがある,4,Model3,Fit,2,2,0,0,-2,1,-1,0,0,2,0円（追加では支払いたくない）,-2,-1,-1,0,-2,-2,-1,0,0,3,5万円まで,1,0,2,3,-2,2,1,-1,0,4,3万円まで,6
5,24d3e36f-000f-4a63-9fb2-05c2919b1fe0,2026-01-07T10:31:37.409290,30-39歳,回答しない,東京都,5-10年,乗ったことはない,5,Prius,Fit,3,1,1,-1,1,3,-1,1,0,5,10万円まで,0,0,0,1,-1,0,1,2,2,4,0円（追加では支払いたくない）,1,1,0,2,0,3,0,-1,1,5,5万円まで,6
6,26b51b43-08e7-4b38-8cb2-c6990f6f6a46,2026-01-06T07:47:37.409333,30-39歳,その他,長崎県,20年以上,所有している,8,Model3,Fit,3,1,0,-3,1,0,0,1,1,4,3万円まで,0,1,2,0,-1,-1,2,0,1,5,3万円まで,2,0,2,3,1,0,3,-2,0,4,3万円まで,9
7,c964f6f8-fb0d-46b7-bc43-75364e06eda3,2026-01-10T11:57:37.409370,30-39歳,男性,広島県,10-20年,乗ったことはない,3,Model3,Fit,0,0,3,-3,0,-1,-1,3,1,3,3万円まで,0,0,1,-2,1,-2,0,1,3,3,3万円まで,-1,0,1,2,1,2,2,0,-3,3,1万円まで,8
8,8855b2af-8113-4c75-aba0-3fa1355f76c5,2026-01-10T18:08:37.409405,50-59歳,女性,高知県,1年未満,乗ったことはない,4,Fit,Model3,1,0,2,-2,3,0,-2,3,0,3,0円（追加では支払いたくない）,-2,2,2,2,3,-1,1,0,2,5,10万円まで,2,1,0,0,1,1,1,0,-1,4,1万円まで,7
9,3b73a501-00b9-47b6-8d0a-3b0d4bd00d03,2026-01-09T22:08:37.409442,20-29歳,女性,山形県,20年以上,乗ったことはない,8,Model3,Prius,3,0,-1,0,0,1,0,2,-1,4,3万円まで,0,0,1,1,0,1,0,1,2,4,3万円まで,0,0,0,1,3,2,2,2,2,6,20万円まで,6
10,6a5cfbaf-afd8-49c1-9a1a-9531073b0b0c,2026-01-08T00:06:37.409481,30-39歳,男性,栃木県,10-20年,乗ったことはない,8,Fit,Prius,2,0,0,-1,2,0,-2,0,1,4,5万円まで,3,1,0,1,1,1,-2,0,1,3,1万円まで,-2,-1,1,1,1,3,1,0,1,4,1万円まで,7
11,d992f301-8379-4833-a167-fb6f4b819c82,2026-01-07T08:19:37.409522,20-29歳,男性,鹿児島県,20年以上,試乗したことがある,4,Prius,Fit,2,1,1,-1,2,0,0,1,0,4,5万円まで,-3,1,-1,0,1,0,3,-1,2,3,1万円まで,0,-1,0,1,3,0,1,0,-1,4,3万円まで,8
12,ac17959f-1c73-4195-82e3-709eaa7814cb,2026-01-07T20:49:37.409561,40-49歳,女性,山形県,5-10年,乗ったことはない,8,Fit,Model3,2,0,0,-2,0,3,0,2,2,5,10万円まで,1,1,1,-1,1,2,0,1,3,6,20万円まで,1,-1,1,0,0,2,0,1,-3,3,1万円まで,9
13,60adfcb6-4461-45a2-a992-253153d67f13,2026-01-08T23:54:37.409597,50-59歳,男性,群馬県,10-20年,乗ったことはない,4,Prius,Fit,0,2,0,-1,3,1,-1,1,2,3,3万円まで,0,3,-1,-1,0,-1,-1,2,2,4,1万円まで,1,0,1,2,1,3,0,-2,-1,4,3万円まで,6
14,203b02e9-fc42-4bb9-9113-49c9a9b41a5d,2026-01-07T17:54:37.409633,30-39歳,女性,岐阜県,10-20年,所有している,5,Prius,Fit,2,2,1,1,1,0,0,2,-1,4,5万円まで,-1,1,1,-1,-2,-1,1,-2,3,1,0円（追加では支払いたくない）,1,1,2,2,-1,-1,2,1,1,5,5万円まで,5
15,8d070e98-3eed-4059-9faa-8bad60695d0a,2026-01-09T15:10:37.409669,20-29歳,男性,滋賀県,20年以上,試乗したことがある,6,Model3,Fit,0,2,2,-1,2,2,-1,1,1,3,3万円まで,1,1,1,1,-2,-2,-1,0,1,5,5万円まで,1,0,0,3,1,2,0,1,1,4,5万円まで,6
